CustomerID,Name,Segment,Region,Value
C00072,Customer 72,Basic,Northeast,2518
C00073,Customer 73,Premium,Southeast,4418
C00074,Customer 74,Premium,Southwest,9642
C00075,Customer 75,Standard,Midwest,3277
C00076,Customer 76,Premium,West,1239
C00077,Customer 77,Basic,Midwest,8219
C00078,Customer 78,Basic,Southeast,5830
C00079,Customer 79,Standard,West,3158
C00080,Customer 80,Standard,Southeast,6504
C00081,Customer 81,Basic,Southwest,4948
C00082,Customer 82,Basic,Southeast,9365
C00083,Customer 83,Premium,Southwest,8901
C00084,Customer 84,Standard,Northeast,5870
C00085,Customer 85,Premium,Midwest,9736
C00086,Customer 86,Premium,Midwest,1718
C00087,Customer 87,Standard,Southwest,5492
C00088,Customer 88,Basic,Northeast,835
C00089,Customer 89,Premium,West,6678
C00090,Customer 90,Basic,Southeast,2219
C00091,Customer 91,Premium,Southeast,5534
C00092,Customer 92,Basic,West,6323
C00093,Customer 93,Standard,Southwest,6483
C00094,Customer 94,Standard,West,8562
C00095,Customer 95,Standard,Southwest,6448
C00096,Customer 96,Premium,Northeast,9200
C00097,Customer 97,Standard,Northeast,9289
C00098,Customer 98,Standard,Southwest,7781
C00099,Customer 99,Basic,Southwest,8575
C00100,Customer 100,Standard,Midwest,9250
C00101,Customer 101,Basic,Southwest,4825
C00102,Customer 102,Premium,Northeast,2127
C00103,Customer 103,Premium,Northeast,9605
C00104,Customer 104,Premium,Midwest,6464
C00105,Customer 105,Premium,Northeast,7273
C00106,Customer 106,Basic,Southwest,7749
C00107,Customer 107,Standard,Northeast,1274
C00108,Customer 108,Premium,Midwest,7006
C00109,Customer 109,Premium,West,7013
C00110,Customer 110,Standard,Southwest,7086
C00111,Customer 111,Premium,Northeast,3340
C00112,Customer 112,Standard,Southeast,2706
C00113,Customer 113,Standard,Southeast,8510
C00114,Customer 114,Standard,Northeast,4479
C00115,Customer 115,Premium,Midwest,4877
C00116,Customer 116,Basic,Northeast,7976
C00117,Customer 117,Basic,Midwest,1651
C00118,Customer 118,Standard,Midwest,5563
C00119,Customer 119,Basic,Southwest,1764
C00120,Customer 120,Standard,Northeast,8790
C00121,Customer 121,Premium,Northeast,2972
C00122,Customer 122,Basic,Southeast,4109
C00123,Customer 123,Premium,West,2267
C00124,Customer 124,Standard,Southeast,6333
C00125,Customer 125,Standard,West,6534
C00126,Customer 126,Premium,Northeast,7161
C00127,Customer 127,Premium,Southeast,5293
C00128,Customer 128,Premium,Northeast,9504
C00129,Customer 129,Premium,West,4781
C00130,Customer 130,Premium,West,944
C00131,Customer 131,Basic,West,6180
C00132,Customer 132,Premium,West,1622
C00133,Customer 133,Premium,West,1925
C00134,Customer 134,Standard,Southwest,7966
C00135,Customer 135,Premium,Northeast,8762
C00136,Customer 136,Basic,West,1750
C00137,Customer 137,Basic,Southwest,5647
C00138,Customer 138,Premium,Southeast,9879
C00139,Customer 139,Standard,Northeast,4538
C00140,Customer 140,Premium,Midwest,4573
C00141,Customer 141,Basic,Midwest,9675
C00142,Customer 142,Standard,Northeast,4321
C00143,Customer 143,Premium,West,1767
C00144,Customer 144,Premium,Southeast,6875
C00145,Customer 145,Standard,Southwest,5668
C00146,Customer 146,Premium,Northeast,1148
C00147,Customer 147,Standard,West,4179
C00148,Customer 148,Premium,West,2762
C00149,Customer 149,Standard,Midwest,1236
C00150,Customer 150,Standard,Northeast,4222
C00151,Customer 151,Standard,Midwest,5365
C00152,Customer 152,Standard,Southeast,5556
C00153,Customer 153,Basic,West,8763
C00154,Customer 154,Basic,West,5074
C00155,Customer 155,Standard,Midwest,7594
C00156,Customer 156,Basic,Midwest,8877
C00157,Customer 157,Standard,West,8583
C00158,Customer 158,Premium,Southwest,6278
C00159,Customer 159,Standard,West,8026
C00160,Customer 160,Standard,West,733
C00161,Customer 161,Premium,Midwest,8799
C00162,Customer 162,Basic,Midwest,6014
C00163,Customer 163,Standard,Midwest,6101
C00164,Customer 164,Premium,Midwest,7921
C00165,Customer 165,Premium,Northeast,9958
C00166,Customer 166,Premium,West,5722
C00167,Customer 167,Basic,West,4120
C00168,Customer 168,Premium,West,5212
C00169,Customer 169,Basic,Northeast,6599
C00170,Customer 170,Premium,Southwest,9449
C00171,Customer 171,Basic,West,7514
C00172,Customer 172,Standard,Northeast,6280
C00173,Customer 173,Standard,Northeast,5956
C00174,Customer 174,Premium,Northeast,9381
C00175,Customer 175,Premium,Southeast,9449
C00176,Customer 176,Basic,Southwest,7513
C00177,Customer 177,Standard,Northeast,9632
C00178,Customer 178,Standard,Northeast,5356
C00179,Customer 179,Premium,Southeast,982
C00180,Customer 180,Basic,Southeast,5002
C00181,Customer 181,Premium,Midwest,4881
C00182,Customer 182,Basic,Northeast,3420
C00183,Customer 183,Premium,Midwest,9970
C00184,Customer 184,Basic,Southeast,1808
C00185,Customer 185,Premium,Southeast,4863
C00186,Customer 186,Basic,West,9438
C00187,Customer 187,Standard,Northeast,800
C00188,Customer 188,Premium,Northeast,3249
C00189,Customer 189,Basic,Southeast,1797
C00190,Customer 190,Premium,Southeast,8709
C00191,Customer 191,Basic,West,661
C00192,Customer 192,Standard,Southwest,9597
C00193,Customer 193,Premium,Southeast,6338
C00194,Customer 194,Standard,Southwest,6673
C00195,Customer 195,Premium,Midwest,9296
C00196,Customer 196,Basic,Southwest,711
C00197,Customer 197,Premium,Midwest,3293
C00198,Customer 198,Standard,Southwest,3868
C00199,Customer 199,Standard,West,1450
C00200,Customer 200,Premium,Southwest,6539
C00201,Customer 201,Standard,Midwest,5908
C00202,Customer 202,Basic,Southeast,6526
C00203,Customer 203,Premium,Southwest,5521
C00204,Customer 204,Standard,Southwest,4305
C00205,Customer 205,Standard,Southwest,8514
C00206,Customer 206,Standard,Southeast,3632
C00207,Customer 207,Basic,Midwest,5867
C00208,Customer 208,Basic,Southwest,5211
C00209,Customer 209,Basic,Southeast,3532
C00210,Customer 210,Basic,Southeast,1214
C00211,Customer 211,Standard,Northeast,2847
C00212,Customer 212,Basic,Southwest,8208
C00213,Customer 213,Premium,Midwest,8573
C00214,Customer 214,Premium,Southwest,1466
C00215,Customer 215,Premium,Northeast,7659
C00216,Customer 216,Premium,West,6912
C00217,Customer 217,Basic,Southeast,4433
C00218,Customer 218,Standard,West,1949
C00219,Customer 219,Basic,Northeast,8100
C00220,Customer 220,Premium,Southeast,1931
C00221,Customer 221,Premium,Midwest,2169
C00222,Customer 222,Basic,Northeast,7583
C00223,Customer 223,Premium,West,3637
C00224,Customer 224,Standard,Northeast,1686
C00225,Customer 225,Basic,Northeast,4422
C00226,Customer 226,Premium,Southeast,2146
C00227,Customer 227,Premium,Midwest,4488
C00228,Customer 228,Basic,Southeast,8702
C00229,Customer 229,Basic,Southeast,8582
C00230,Customer 230,Premium,Midwest,9006
C00231,Customer 231,Basic,Northeast,2566
C00232,Customer 232,Standard,Northeast,8484
C00233,Customer 233,Basic,Midwest,7031
C00234,Customer 234,Standard,Northeast,553
C00235,Customer 235,Standard,Southwest,748
C00236,Customer 236,Premium,Southwest,3078
C00237,Customer 237,Basic,Southwest,6463
C00238,Customer 238,Basic,West,9239
C00239,Customer 239,Basic,Midwest,996
C00240,Customer 240,Premium,Southeast,9820
C00241,Customer 241,Premium,West,860
C00242,Customer 242,Premium,West,4941
C00243,Customer 243,Premium,West,1155
C00244,Customer 244,Basic,Southeast,3505
C00245,Customer 245,Standard,Southeast,7125
C00246,Customer 246,Basic,Southeast,6984
C00247,Customer 247,Premium,Midwest,5859
C00248,Customer 248,Standard,Southwest,5389
C00249,Customer 249,Basic,Southeast,4624
C00250,Customer 250,Premium,Northeast,7119
C00251,Customer 251,Basic,Northeast,7202
C00252,Customer 252,Standard,Southwest,3012
C00253,Customer 253,Premium,Southeast,8367
C00254,Customer 254,Standard,Midwest,6451
C00255,Customer 255,Premium,Northeast,6607
C00256,Customer 256,Premium,Southeast,5229
C00257,Customer 257,Premium,Southwest,7310
C00258,Customer 258,Standard,West,1760
C00259,Customer 259,Basic,West,8684
C00260,Customer 260,Premium,West,7358
C00261,Customer 261,Standard,West,3792
C00262,Customer 262,Standard,Northeast,1541
C00263,Customer 263,Premium,Southwest,2111
C00264,Customer 264,Premium,Midwest,3302
C00265,Customer 265,Basic,Southwest,6629
C00266,Customer 266,Basic,Southwest,6541
C00267,Customer 267,Standard,Southeast,6388
C00268,Customer 268,Basic,Southeast,8691
C00269,Customer 269,Premium,West,9917
C00270,Customer 270,Premium,Southeast,3342
C00271,Customer 271,Premium,Southeast,9459
C00272,Customer 272,Premium,Northeast,4535
C00273,Customer 273,Basic,Midwest,5323
C00274,Customer 274,Standard,Southwest,1114
C00275,Customer 275,Premium,Northeast,9436
C00276,Customer 276,Premium,Southeast,3571
C00277,Customer 277,Premium,West,3953
C00278,Customer 278,Basic,West,3072
C00279,Customer 279,Basic,Midwest,9604
C00280,Customer 280,Basic,Southeast,9223
C00281,Customer 281,Premium,Midwest,9821
C00282,Customer 282,Basic,Midwest,4785
C00283,Customer 283,Standard,Southeast,9110
C00284,Customer 284,Standard,Southeast,8151
C00285,Customer 285,Basic,Southwest,8466
C00286,Customer 286,Premium,Northeast,5337
C00287,Customer 287,Basic,Northeast,3103
C00288,Customer 288,Standard,Northeast,8090
C00289,Customer 289,Standard,Southwest,8241
C00290,Customer 290,Standard,Northeast,550
C00291,Customer 291,Standard,Midwest,5131
C00292,Customer 292,Standard,Northeast,7569
C00293,Customer 293,Premium,Northeast,2236
C00294,Customer 294,Basic,Northeast,8624
C00295,Customer 295,Standard,Southwest,8120
C00296,Customer 296,Standard,Southeast,8928
C00297,Customer 297,Premium,West,1793
C00298,Customer 298,Basic,West,8799
C00299,Customer 299,Standard,Southwest,1964
C00300,Customer 300,Premium,Northeast,4602
C00301,Customer 301,Basic,Northeast,610
C00302,Customer 302,Basic,Midwest,6943
C00303,Customer 303,Basic,Southeast,7500
C00304,Customer 304,Standard,Southeast,9559
C00305,Customer 305,Premium,Northeast,4870
C00306,Customer 306,Standard,West,9656
C00307,Customer 307,Standard,West,5064
C00308,Customer 308,Standard,Southwest,8017
C00309,Customer 309,Standard,Southwest,6695
C00310,Customer 310,Standard,Midwest,4960
C00311,Customer 311,Standard,Northeast,9551
C00312,Customer 312,Premium,Midwest,2856
C00313,Customer 313,Standard,Southwest,3465
C00314,Customer 314,Basic,Midwest,2321
C00315,Customer 315,Standard,West,2826
C00316,Customer 316,Premium,Midwest,1240
C00317,Customer 317,Standard,Southeast,7254
C00318,Customer 318,Standard,Southeast,7269
C00319,Customer 319,Basic,Southeast,2777
C00320,Customer 320,Basic,Midwest,4665
C00321,Customer 321,Basic,West,4185
C00322,Customer 322,Premium,Midwest,8805
C00323,Customer 323,Basic,Northeast,8335
C00324,Customer 324,Basic,West,7631
C00325,Customer 325,Standard,Southeast,1664
C00326,Customer 326,Standard,Northeast,2581
C00327,Customer 327,Basic,Northeast,8421
C00328,Customer 328,Basic,Southwest,1228
C00329,Customer 329,Basic,Northeast,8684
C00330,Customer 330,Premium,Northeast,3541
C00331,Customer 331,Standard,Northeast,3690
C00332,Customer 332,Premium,Midwest,5589
C00333,Customer 333,Standard,West,9067
C00334,Customer 334,Premium,Northeast,8417
C00335,Customer 335,Standard,Midwest,3475
C00336,Customer 336,Basic,Southeast,2608
C00337,Customer 337,Standard,Southwest,5666
C00338,Customer 338,Premium,Midwest,3149
C00339,Customer 339,Standard,Southwest,3491
C00340,Customer 340,Premium,Northeast,2840
C00341,Customer 341,Premium,West,5761
C00342,Customer 342,Basic,Midwest,9858
C00343,Customer 343,Basic,West,8780
C00344,Customer 344,Basic,Southeast,7921
C00345,Customer 345,Standard,Southeast,943
C00346,Customer 346,Basic,Northeast,839
C00347,Customer 347,Basic,Northeast,3320
C00348,Customer 348,Standard,Southeast,7065
C00349,Customer 349,Standard,West,9018
C00350,Customer 350,Premium,West,730
C00351,Customer 351,Premium,Midwest,5437
C00352,Customer 352,Standard,Southwest,4875
C00353,Customer 353,Basic,West,9413
C00354,Customer 354,Premium,Southeast,4035
C00355,Customer 355,Standard,West,1957
C00356,Customer 356,Standard,Midwest,958
C00357,Customer 357,Standard,Northeast,1335
C00358,Customer 358,Premium,West,6740
C00359,Customer 359,Standard,Northeast,3145
C00360,Customer 360,Standard,West,4665
C00361,Customer 361,Premium,West,8917
C00362,Customer 362,Basic,West,3175
C00363,Customer 363,Basic,Midwest,2735
C00364,Customer 364,Standard,Southwest,3113
C00365,Customer 365,Basic,Northeast,7661
C00366,Customer 366,Standard,Northeast,4524
C00367,Customer 367,Premium,Southwest,5444
C00368,Customer 368,Basic,West,2512
C00369,Customer 369,Standard,Southwest,3957
C00370,Customer 370,Premium,Southwest,9121
C00371,Customer 371,Basic,Northeast,6702
C00372,Customer 372,Standard,Midwest,4571
C00373,Customer 373,Premium,Southeast,9513
C00374,Customer 374,Basic,Southwest,1765
C00375,Customer 375,Standard,Southwest,758
C00376,Customer 376,Standard,West,6331
C00377,Customer 377,Premium,Southwest,6395
C00378,Customer 378,Standard,Southeast,2930
C00379,Customer 379,Premium,Northeast,5370
C00380,Customer 380,Basic,West,2625
C00381,Customer 381,Premium,Southwest,6622
C00382,Customer 382,Premium,Southwest,6685
C00383,Customer 383,Standard,Midwest,2494
C00384,Customer 384,Basic,Southwest,904
C00385,Customer 385,Basic,West,5180
C00386,Customer 386,Standard,Southwest,9051
C00387,Customer 387,Basic,Southwest,4555
C00388,Customer 388,Standard,Southeast,5186
C00389,Customer 389,Standard,West,1661
C00390,Customer 390,Premium,Southwest,5155
C00391,Customer 391,Basic,Midwest,9985
C00392,Customer 392,Premium,Southwest,6683
C00393,Customer 393,Standard,Southeast,4333
C00394,Customer 394,Premium,West,8537
C00395,Customer 395,Basic,West,3173
C00396,Customer 396,Basic,Southwest,3246
C00397,Customer 397,Premium,Southeast,7113
C00398,Customer 398,Standard,Midwest,773
C00399,Customer 399,Standard,Southeast,9252
C00400,Customer 400,Standard,West,3773
C00401,Customer 401,Premium,West,5183
C00402,Customer 402,Standard,Southwest,1112
C00403,Customer 403,Basic,Southeast,4089
C00404,Customer 404,Standard,Midwest,4816
C00405,Customer 405,Basic,Midwest,763
C00406,Customer 406,Basic,Midwest,4003
C00407,Customer 407,Premium,Midwest,5808
C00408,Customer 408,Basic,Northeast,9783
C00409,Customer 409,Basic,Southeast,7360
C00410,Customer 410,Standard,Midwest,5003
C00411,Customer 411,Premium,West,5686
C00412,Customer 412,Basic,Southwest,6488
C00413,Customer 413,Premium,Southwest,8240
C00414,Customer 414,Standard,Southwest,5694
C00415,Customer 415,Premium,West,2068
C00416,Customer 416,Standard,Midwest,2709
C00417,Customer 417,Basic,West,7478
C00418,Customer 418,Basic,Midwest,8395
C00419,Customer 419,Premium,Midwest,9055
C00420,Customer 420,Standard,Midwest,2740
C00421,Customer 421,Basic,Southwest,7249
C00422,Customer 422,Premium,Southwest,4422
C00423,Customer 423,Basic,Southeast,3270
C00424,Customer 424,Premium,Midwest,4123
C00425,Customer 425,Premium,Northeast,4772
C00426,Customer 426,Premium,Southeast,923
C00427,Customer 427,Premium,Southeast,8245
C00428,Customer 428,Standard,Southwest,2093
C00429,Customer 429,Standard,West,3898
C00430,Customer 430,Premium,Southeast,6441
C00431,Customer 431,Basic,West,2759
C00432,Customer 432,Basic,Southeast,9350
C00433,Customer 433,Standard,Southwest,1047
C00434,Customer 434,Premium,West,895
C00435,Customer 435,Standard,Midwest,3279
C00436,Customer 436,Standard,Midwest,6548
C00437,Customer 437,Basic,Midwest,4708
C00438,Customer 438,Standard,Midwest,9936
C00439,Customer 439,Basic,Midwest,4744
C00440,Customer 440,Premium,Southeast,609
C00441,Customer 441,Standard,Southwest,2136
C00442,Customer 442,Standard,West,1817
C00443,Customer 443,Standard,West,7853
C00444,Customer 444,Basic,Southeast,5001
C00445,Customer 445,Basic,Northeast,4260
C00446,Customer 446,Premium,Southwest,5790
C00447,Customer 447,Standard,Southeast,6153
C00448,Customer 448,Standard,Southeast,8003
C00449,Customer 449,Standard,Southwest,6226
C00450,Customer 450,Basic,Southwest,8266
C00451,Customer 451,Basic,Midwest,2553
C00452,Customer 452,Premium,Southeast,4476
C00453,Customer 453,Standard,Midwest,5138
C00454,Customer 454,Standard,West,6276
C00455,Customer 455,Standard,Northeast,6401
C00456,Customer 456,Standard,Midwest,9502
C00457,Customer 457,Basic,Midwest,5874
C00458,Customer 458,Standard,Southeast,2999
C00459,Customer 459,Premium,Northeast,4396
C00460,Customer 460,Basic,Midwest,3653
C00461,Customer 461,Standard,Midwest,8853
C00462,Customer 462,Basic,Midwest,7906
C00463,Customer 463,Basic,Southwest,2075
C00464,Customer 464,Standard,Northeast,2654
C00465,Customer 465,Basic,Midwest,6660
C00466,Customer 466,Premium,Northeast,7646
C00467,Customer 467,Premium,West,6003
C00468,Customer 468,Standard,Midwest,4721
C00469,Customer 469,Premium,Southeast,3447
C00470,Customer 470,Premium,Southwest,7872
C00471,Customer 471,Premium,Southwest,8789
C00472,Customer 472,Premium,Midwest,7996
C00473,Customer 473,Premium,Midwest,9336
C00474,Customer 474,Basic,West,2498
C00475,Customer 475,Premium,Midwest,3798
C00476,Customer 476,Standard,Southwest,9337
C00477,Customer 477,Basic,Southeast,3381
C00478,Customer 478,Basic,Midwest,5915
C00479,Customer 479,Standard,West,770
C00480,Customer 480,Standard,West,6336
C00481,Customer 481,Premium,Southeast,9202
C00482,Customer 482,Basic,Northeast,7717
C00483,Customer 483,Premium,Northeast,992
C00484,Customer 484,Standard,Southwest,2830
C00485,Customer 485,Premium,Northeast,2835
C00486,Customer 486,Standard,Midwest,3332
C00487,Customer 487,Premium,Southeast,844
C00488,Customer 488,Standard,Southwest,9411
C00489,Customer 489,Basic,West,1481
C00490,Customer 490,Standard,Northeast,1564
C00491,Customer 491,Basic,Southwest,6568
C00492,Customer 492,Premium,Southeast,2881
C00493,Customer 493,Standard,Midwest,6492
C00494,Customer 494,Standard,Southeast,3253
C00495,Customer 495,Basic,Southeast,2217
C00496,Customer 496,Premium,Southeast,8816
C00497,Customer 497,Premium,Midwest,7876
C00498,Customer 498,Standard,West,9051
C00499,Customer 499,Premium,Southwest,9500
C00500,Customer 500,Basic,Southeast,4427
C00501,Customer 501,Basic,Northeast,812
C00502,Customer 502,Standard,Southeast,9777
C00503,Customer 503,Standard,West,729
C00504,Customer 504,Standard,Southwest,8346
C00505,Customer 505,Premium,Northeast,7978
C00506,Customer 506,Basic,Southwest,6268
C00507,Customer 507,Basic,Southeast,2528
C00508,Customer 508,Basic,Southeast,6678
C00509,Customer 509,Basic,Southwest,4326
C00510,Customer 510,Basic,Southwest,4160
C00511,Customer 511,Premium,Southwest,2369
C00512,Customer 512,Basic,Northeast,8932
C00513,Customer 513,Premium,Northeast,3485
C00514,Customer 514,Basic,Southeast,9161
C00515,Customer 515,Standard,Southwest,6966
C00516,Customer 516,Standard,Northeast,8746
C00517,Customer 517,Premium,Midwest,5060
C00518,Customer 518,Standard,Southeast,4526
C00519,Customer 519,Premium,West,1008
C00520,Customer 520,Premium,Midwest,7095
C00521,Customer 521,Premium,West,5567
C00522,Customer 522,Basic,Midwest,9827
C00523,Customer 523,Premium,Southeast,5849
C00524,Customer 524,Standard,Southwest,6825
C00525,Customer 525,Standard,Southwest,7559
C00526,Customer 526,Premium,Southeast,6046
C00527,Customer 527,Basic,Midwest,2441
C00528,Customer 528,Standard,Southwest,4959
C00529,Customer 529,Premium,Southeast,921
C00530,Customer 530,Basic,Northeast,6386
C00531,Customer 531,Premium,Southeast,5507
C00532,Customer 532,Basic,Northeast,9508
C00533,Customer 533,Basic,Northeast,3170
C00534,Customer 534,Basic,Southwest,5361
C00535,Customer 535,Basic,Northeast,5082
C00536,Customer 536,Basic,Northeast,3453
C00537,Customer 537,Basic,Southeast,2696
C00538,Customer 538,Standard,Southeast,3821
C00539,Customer 539,Basic,Southwest,5722
C00540,Customer 540,Premium,Southeast,9882
C00541,Customer 541,Basic,Southwest,8544
C00542,Customer 542,Standard,Northeast,6771
C00543,Customer 543,Standard,Midwest,7132
C00544,Customer 544,Standard,Southeast,9374
C00545,Customer 545,Basic,Southwest,3099
C00546,Customer 546,Premium,Northeast,4372
C00547,Customer 547,Standard,West,2077
C00548,Customer 548,Basic,Midwest,5297
C00549,Customer 549,Standard,Southeast,9575
C00550,Customer 550,Premium,West,7566
C00551,Customer 551,Standard,Northeast,6954
C00552,Customer 552,Standard,Southwest,3038
C00553,Customer 553,Standard,Southwest,7977
C00554,Customer 554,Premium,Northeast,4328
C00555,Customer 555,Premium,Southeast,1512
C00556,Customer 556,Standard,Southwest,3698
C00557,Customer 557,Premium,West,3609
C00558,Customer 558,Premium,Midwest,5257
C00559,Customer 559,Premium,Southeast,9812
C00560,Customer 560,Basic,Southeast,8334
C00561,Customer 561,Standard,Southeast,3691
C00562,Customer 562,Premium,Southwest,603
C00563,Customer 563,Standard,Northeast,2392
C00564,Customer 564,Basic,West,9420
C00565,Customer 565,Standard,Southeast,3153
C00566,Customer 566,Standard,Midwest,9722
C00567,Customer 567,Premium,Northeast,4721
C00568,Customer 568,Standard,Northeast,2892
C00569,Customer 569,Standard,Southeast,5117
C00570,Customer 570,Standard,Northeast,4146
C00571,Customer 571,Premium,Northeast,4794
C00572,Customer 572,Basic,Southeast,1410
C00573,Customer 573,Basic,Midwest,3505
C00574,Customer 574,Standard,Southeast,7110
C00575,Customer 575,Premium,West,3269
C00576,Customer 576,Premium,Northeast,7874
C00577,Customer 577,Premium,Southeast,3795
C00578,Customer 578,Standard,Midwest,5975
C00579,Customer 579,Premium,Southwest,6021
C00580,Customer 580,Standard,West,6825
C00581,Customer 581,Standard,Southwest,648
C00582,Customer 582,Standard,West,4932
C00583,Customer 583,Basic,Southeast,1674
C00584,Customer 584,Standard,Southwest,6582
C00585,Customer 585,Premium,Midwest,4567
C00586,Customer 586,Premium,Northeast,2981
C00587,Customer 587,Standard,Midwest,9466
C00588,Customer 588,Premium,Northeast,2860
C00589,Customer 589,Premium,Southwest,3936
C00590,Customer 590,Basic,Southwest,6109
C00591,Customer 591,Premium,Southeast,5194
C00592,Customer 592,Basic,Southwest,1931
C00593,Customer 593,Standard,Midwest,5155
C00594,Customer 594,Premium,Midwest,529
C00595,Customer 595,Premium,Midwest,7310
C00596,Customer 596,Standard,Southeast,6855
C00597,Customer 597,Premium,West,1479
C00598,Customer 598,Basic,Midwest,4609
C00599,Customer 599,Standard,Midwest,6012
C00600,Customer 600,Basic,Southeast,1615
C00601,Customer 601,Premium,Northeast,2252
C00602,Customer 602,Basic,Southeast,9062
C00603,Customer 603,Standard,West,6459
C00604,Customer 604,Standard,Southwest,5423
C00605,Customer 605,Basic,Southeast,6678
C00606,Customer 606,Standard,Southwest,6702
C00607,Customer 607,Standard,Midwest,5829
C00608,Customer 608,Standard,Southwest,5258
C00609,Customer 609,Premium,Southwest,2858
C00610,Customer 610,Premium,Midwest,4676
C00611,Customer 611,Standard,West,1672
C00612,Customer 612,Standard,Southeast,2195
C00613,Customer 613,Standard,West,1915
C00614,Customer 614,Basic,West,8286
C00615,Customer 615,Premium,Northeast,4705
C00616,Customer 616,Basic,Southwest,9896
C00617,Customer 617,Standard,West,9794
C00618,Customer 618,Premium,West,3986
C00619,Customer 619,Premium,Midwest,7627
C00620,Customer 620,Basic,West,3139
C00621,Customer 621,Premium,Southeast,9859
C00622,Customer 622,Standard,West,6894
C00623,Customer 623,Basic,Midwest,6737
C00624,Customer 624,Premium,West,2893
C00625,Customer 625,Basic,Southeast,4706
C00626,Customer 626,Premium,Southwest,660
C00627,Customer 627,Basic,Midwest,2257
C00628,Customer 628,Basic,Southeast,963
C00629,Customer 629,Standard,Southwest,6553
C00630,Customer 630,Basic,Southwest,9646
C00631,Customer 631,Standard,Southwest,1756
C00632,Customer 632,Standard,Southwest,2843
C00633,Customer 633,Premium,West,2649
C00634,Customer 634,Basic,West,7706
C00635,Customer 635,Basic,Southwest,9066
C00636,Customer 636,Premium,Northeast,2556
C00637,Customer 637,Basic,Northeast,8191
C00638,Customer 638,Standard,Midwest,3118
C00639,Customer 639,Basic,Northeast,1741
C00640,Customer 640,Standard,Southwest,9178
C00641,Customer 641,Standard,Southeast,9211
C00642,Customer 642,Basic,Northeast,3830
C00643,Customer 643,Standard,Midwest,6295
C00644,Customer 644,Basic,Southwest,9648
C00645,Customer 645,Premium,Southwest,5519
C00646,Customer 646,Premium,Midwest,3904
C00647,Customer 647,Premium,Southwest,9400
C00648,Customer 648,Basic,Southeast,947
C00649,Customer 649,Basic,Southeast,7723
C00650,Customer 650,Standard,Southeast,567
C00651,Customer 651,Basic,Midwest,1267
C00652,Customer 652,Basic,West,2461
C00653,Customer 653,Premium,Midwest,1795
